original_filename,new_filename,folder_name,distance,duration_hours,total_ascent,total_descent,abs_ascent_descent_diff,end_date,interval_time,passed_waypoint_taguan_mountain_peak,check_tfidf_塔關山,check_tfidf_南橫三星,check_tfidf_關山嶺山,cluster,pca_1,pca_2,pca_3,original_filename_orig,folder_name_orig
塔關山 (26).gpx,HN_Taguan_0117.gpx,HN_Taguan,3.9,3.54,724.5,720.6,3.9,2025/4/20,212,TRUE,TRUE,FALSE,FALSE,0,-0.536023339,0.18400391,0.463965009,塔關山 (26).gpx,HN_Taguan
塔關山 (19).gpx,HN_Taguan_0113.gpx,HN_Taguan,4.23,3.55,814.2,814,0.3,2025/5/3,213,TRUE,TRUE,FALSE,FALSE,0,1.370931338,0.374532246,0.582476435,塔關山 (19).gpx,HN_Taguan
20250503塔關山 (1).gpx,HN_Taguan_0077.gpx,HN_Taguan,3.98,3.55,862.2,864.7,2.5,2025/5/3,213,TRUE,TRUE,FALSE,FALSE,0,1.665852296,0.13413507,0.773997962,20250503塔關山 (1).gpx,HN_Taguan
20220703塔關山.gpx,HN_Taguan_0035.gpx,HN_Taguan,4.26,3.57,728.9,728.5,0.4,2022/7/3,213,TRUE,TRUE,FALSE,FALSE,0,0.171173934,0.454621788,0.368765451,20220703塔關山.gpx,HN_Taguan
塔關山 - 2025-08-13T212422.669.gpx,HN_Taguan_0298.gpx,HN_Taguan,3.59,3.57,628.9,668.4,39.5,2022/6/4,214,TRUE,TRUE,FALSE,FALSE,0,-2.149956684,-0.025917234,0.387592669,塔關山 - 2025-08-13T212422.669.gpx,HN_Taguan
塔關山 - 2025-08-13T212423.897.gpx,HN_Taguan_0299.gpx,HN_Taguan,3.59,3.57,628.9,668.4,39.5,2022/6/4,214,TRUE,TRUE,FALSE,FALSE,0,-2.149956684,-0.025917234,0.387592669,塔關山 - 2025-08-13T212423.897.gpx,HN_Taguan
關山嶺+塔關山.gpx,HN_Taguan_0357.gpx,HN_Taguan,4.64,3.58,969.3,964.2,5.1,2022/7/30,214,TRUE,TRUE,FALSE,FALSE,0,4.310681888,0.572236985,0.817133695,關山嶺+塔關山.gpx,HN_Taguan
塔關山 (58).gpx,HN_Taguan_0142.gpx,HN_Taguan,4.73,3.6,720.2,715,5.1,2023/5/28,215,TRUE,TRUE,FALSE,FALSE,0,0.814097066,0.82773251,0.198111501,塔關山 (58).gpx,HN_Taguan
20230429 塔關山.gpx,HN_Taguan_0066.gpx,HN_Taguan,4.42,3.62,697.7,697.5,0.2,2023/4/29,217,TRUE,TRUE,FALSE,FALSE,0,-0.009730387,0.582173627,0.241184422,20230429 塔關山.gpx,HN_Taguan
塔關山 (1).gpx,HN_Taguan_0107.gpx,HN_Taguan,4.17,3.62,713.7,704,9.7,2025/6/28,217,TRUE,TRUE,FALSE,FALSE,0,-0.272999489,0.371609418,0.33952866,塔關山 (1).gpx,HN_Taguan
1120115塔關山.gpx,HN_Taguan_0013.gpx,HN_Taguan,4.16,3.63,720,720,0,2023/1/15,218,TRUE,TRUE,FALSE,FALSE,0,-0.126684157,0.349466453,0.369942386,1120115塔關山.gpx,HN_Taguan
2023.07.23塔關山.gpx,HN_Taguan_0056.gpx,HN_Taguan,3.99,3.65,805.3,812.3,7,2023/7/22,219,TRUE,TRUE,FALSE,FALSE,0,0.883635693,0.132702333,0.629543399,2023.07.23塔關山.gpx,HN_Taguan
塔關山 (78).gpx,HN_Taguan_0158.gpx,HN_Taguan,4.03,3.66,647.9,635.9,12,2023/4/12,219,TRUE,TRUE,FALSE,FALSE,0,-1.493253151,0.289684548,0.216675231,塔關山 (78).gpx,HN_Taguan
20250503塔關山.gpx,HN_Taguan_0078.gpx,HN_Taguan,3.99,3.66,698.7,693.9,4.8,2025/5/3,219,TRUE,TRUE,FALSE,FALSE,0,-0.764665499,0.215010572,0.359049664,20250503塔關山.gpx,HN_Taguan
塔關山 (91).gpx,HN_Taguan_0170.gpx,HN_Taguan,4.32,3.67,768.3,783.2,14.9,2023/3/18,220,TRUE,TRUE,FALSE,FALSE,0,0.964805533,0.414516696,0.452860539,塔關山 (91).gpx,HN_Taguan
20221012塔關山.gpx,HN_Taguan_0041.gpx,HN_Taguan,4.29,3.67,773.3,770.8,2.5,2022/10/12,220,TRUE,TRUE,FALSE,FALSE,0,0.859382646,0.3935692,0.448707904,20221012塔關山.gpx,HN_Taguan
20221130塔關山.gpx,HN_Taguan_0044.gpx,HN_Taguan,4.31,3.68,685.7,711.9,26.2,2022/11/30,221,TRUE,TRUE,FALSE,FALSE,0,-0.179918097,0.460612521,0.275153526,20221130塔關山.gpx,HN_Taguan
塔關山 (93).gpx,HN_Taguan_0172.gpx,HN_Taguan,4.34,3.69,806.1,861.6,55.5,2023/3/25,221,TRUE,TRUE,FALSE,FALSE,0,1.850342995,0.37428863,0.591787657,塔關山 (93).gpx,HN_Taguan
