original_filename,new_filename,folder_name,distance,duration_hours,total_ascent,total_descent,abs_ascent_descent_diff,end_date,interval_time,passed_waypoint_guanshanling_mountain_peak,check_tfidf_關山嶺山,check_tfidf_溪頭山,check_tfidf_塔關山,cluster,pca_1,pca_2,pca_3,original_filename_orig,folder_name_orig
關山嶺山 - 2025-08-14T140131.037.gpx,HN_Guanshanling_0303.gpx,HN_Guanshanling,2.5,3.26,475.9,474.3,1.5,2023/2/8 00:00,195,TRUE,TRUE,FALSE,FALSE,0,-0.751917323,-0.155842891,0.41772623,關山嶺山 - 2025-08-14T140131.037.gpx,HN_Guanshanling
關山嶺山 - 2025-08-14T135940.030.gpx,HN_Guanshanling_0275.gpx,HN_Guanshanling,2.31,3.26,463.5,449.6,13.8,2023/4/2 00:00,195,TRUE,TRUE,FALSE,FALSE,0,-2.003703975,0.220847558,0.441562347,關山嶺山 - 2025-08-14T135940.030.gpx,HN_Guanshanling
關山嶺山 - 2025-08-14T140243.523.gpx,HN_Guanshanling_0327.gpx,HN_Guanshanling,2.82,3.25,553.3,533,20.3,2022/12/10 00:00,194,TRUE,TRUE,FALSE,FALSE,0,2.577226636,-0.668203506,0.412820104,關山嶺山 - 2025-08-14T140243.523.gpx,HN_Guanshanling
111.08.20關山嶺山.gpx,HN_Guanshanling_0003.gpx,HN_Guanshanling,2.5,3.24,470.4,467.5,2.9,2022/8/20 00:00,194,TRUE,TRUE,FALSE,FALSE,0,-0.951316926,-0.198184659,0.394046913,111.08.20關山嶺山.gpx,HN_Guanshanling
20221210關山嶺山.gpx,HN_Guanshanling_0041.gpx,HN_Guanshanling,2.68,3.23,541.4,559.1,17.7,2022/12/10 00:00,193,TRUE,TRUE,FALSE,FALSE,0,2.300444786,-0.32408854,0.412359227,20221210關山嶺山.gpx,HN_Guanshanling
2024 關山嶺山.gpx,HN_Guanshanling_0069.gpx,HN_Guanshanling,2.46,3.23,445.4,438.2,7.2,2024/2/10 00:00,193,TRUE,TRUE,FALSE,FALSE,0,-1.969553035,-0.215878717,0.370659296,2024 關山嶺山.gpx,HN_Guanshanling
1104 關山嶺山.gpx,HN_Guanshanling_0002.gpx,HN_Guanshanling,2.62,3.22,479.8,488.6,8.8,2022/11/4 00:00,193,TRUE,TRUE,FALSE,FALSE,0,-0.048559178,-0.441254904,0.361612098,1104 關山嶺山.gpx,HN_Guanshanling
2022.05.11 關山嶺山.gpx,HN_Guanshanling_0029.gpx,HN_Guanshanling,2.58,3.21,490.7,487.3,3.4,2022/5/11 00:00,192,TRUE,TRUE,FALSE,FALSE,0,-0.023281333,-0.340406407,0.367823624,2022.05.11 關山嶺山.gpx,HN_Guanshanling
關山嶺山｜南橫三星.gpx,HN_Guanshanling_0452.gpx,HN_Guanshanling,2.51,3.2,493.5,514.9,21.4,2022/5/6 00:00,191,TRUE,TRUE,FALSE,FALSE,0,0.213432032,-0.123701169,0.375343656,關山嶺山｜南橫三星.gpx,HN_Guanshanling
關山嶺山 - 2025-08-14T135813.548.gpx,HN_Guanshanling_0247.gpx,HN_Guanshanling,2.49,3.2,574.6,565.8,8.9,2023/6/23 00:00,191,TRUE,TRUE,FALSE,FALSE,0,2.308576804,0.166087344,0.445047317,關山嶺山 - 2025-08-14T135813.548.gpx,HN_Guanshanling
關山嶺山 - 2025-08-14T140325.181.gpx,HN_Guanshanling_0340.gpx,HN_Guanshanling,2.23,3.2,436.1,300.9,135.2,2022/11/5 00:00,192,TRUE,TRUE,FALSE,FALSE,-1,-5.067833059,0.002268771,0.368002882,關山嶺山 - 2025-08-14T140325.181.gpx,HN_Guanshanling
關山嶺山 - 2025-08-14T140011.199.gpx,HN_Guanshanling_0284.gpx,HN_Guanshanling,2.56,3.19,468,465.7,2.3,2023/3/18 00:00,191,TRUE,TRUE,FALSE,FALSE,0,-0.813384422,-0.395179531,0.333562015,關山嶺山 - 2025-08-14T140011.199.gpx,HN_Guanshanling
一日雙星no1關山嶺山.gpx,HN_Guanshanling_0103.gpx,HN_Guanshanling,2.34,3.19,416.4,459.3,42.9,2023/12/31 00:00,191,TRUE,TRUE,FALSE,FALSE,0,-2.544250016,0.022524887,0.334012866,一日雙星no1關山嶺山.gpx,HN_Guanshanling
20250503關山嶺山.gpx,HN_Guanshanling_0088.gpx,HN_Guanshanling,2.79,3.18,516,530.9,14.9,2025/5/3 00:00,190,TRUE,TRUE,FALSE,FALSE,0,1.810305465,-0.732255111,0.323086233,20250503關山嶺山.gpx,HN_Guanshanling
關山嶺山 - 2025-08-14T140139.237.gpx,HN_Guanshanling_0306.gpx,HN_Guanshanling,2.61,3.17,492.4,496.3,3.8,2023/2/5 00:00,189,TRUE,TRUE,FALSE,FALSE,0,0.249164528,-0.428046921,0.326274526,關山嶺山 - 2025-08-14T140139.237.gpx,HN_Guanshanling
關山嶺山 - 2025-08-14T140240.848.gpx,HN_Guanshanling_0326.gpx,HN_Guanshanling,2.44,3.17,457.1,444.3,12.8,2022/12/3 00:00,190,TRUE,TRUE,FALSE,FALSE,0,-1.746720986,-0.193410697,0.326879674,關山嶺山 - 2025-08-14T140240.848.gpx,HN_Guanshanling
關山嶺山 - 2025-08-14T140124.237.gpx,HN_Guanshanling_0302.gpx,HN_Guanshanling,2.61,3.16,511,496.1,14.9,2023/2/5 00:00,189,TRUE,TRUE,FALSE,FALSE,0,0.559769686,-0.406152776,0.331104064,關山嶺山 - 2025-08-14T140124.237.gpx,HN_Guanshanling
關山嶺山 - 2025-08-14T140448.324.gpx,HN_Guanshanling_0368.gpx,HN_Guanshanling,2.47,3.16,560.7,556.1,4.6,2022/8/14 00:00,189,TRUE,TRUE,FALSE,FALSE,0,1.852708269,0.131582008,0.39942037,關山嶺山 - 2025-08-14T140448.324.gpx,HN_Guanshanling
關山嶺山 - 2025-08-14T140157.113.gpx,HN_Guanshanling_0310.gpx,HN_Guanshanling,2.67,3.15,491.1,486.2,4.9,2023/1/25 00:00,189,TRUE,TRUE,FALSE,FALSE,0,0.276345241,-0.611494086,0.294516551,關山嶺山 - 2025-08-14T140157.113.gpx,HN_Guanshanling
2022-07-15 關山嶺山（百岳、南橫三星）.gpx,HN_Guanshanling_0026.gpx,HN_Guanshanling,2.52,3.15,473.3,472.1,1.1,2022/7/15 00:00,188,TRUE,TRUE,FALSE,FALSE,0,-0.762671753,-0.3168038,0.307538374,2022-07-15 關山嶺山（百岳、南橫三星）.gpx,HN_Guanshanling
關山嶺山 - 2025-08-14T140244.849.gpx,HN_Guanshanling_0328.gpx,HN_Guanshanling,2.81,3.14,542.2,543.3,1,2022/12/10 00:00,188,TRUE,TRUE,FALSE,FALSE,0,2.514790552,-0.747437795,0.302494353,關山嶺山 - 2025-08-14T140244.849.gpx,HN_Guanshanling
關山嶺山 (17).gpx,HN_Guanshanling_0159.gpx,HN_Guanshanling,2.4,3.14,454.1,437.1,17,2023/12/30 00:00,188,TRUE,TRUE,FALSE,FALSE,0,-2.048524149,-0.147444568,0.303003358,關山嶺山 (17).gpx,HN_Guanshanling
關山嶺山 - 2025-08-14T135823.708.gpx,HN_Guanshanling_0250.gpx,HN_Guanshanling,2.56,3.12,478.5,490.3,11.8,2023/6/3 00:00,187,TRUE,TRUE,FALSE,FALSE,0,-0.25265484,-0.393755471,0.276961737,關山嶺山 - 2025-08-14T135823.708.gpx,HN_Guanshanling
南橫三星-關山嶺山 (1).gpx,HN_Guanshanling_0110.gpx,HN_Guanshanling,2.41,3.12,481.2,489.9,8.7,2024/7/19 00:00,187,TRUE,TRUE,FALSE,FALSE,0,-0.731573149,-0.036041566,0.306726717,南橫三星-關山嶺山 (1).gpx,HN_Guanshanling
關山嶺山 (6).gpx,HN_Guanshanling_0189.gpx,HN_Guanshanling,2.38,3.12,522.8,541.8,19,2025/5/10 00:00,187,TRUE,TRUE,FALSE,FALSE,0,0.678091156,0.211778674,0.347918246,關山嶺山 (6).gpx,HN_Guanshanling
關山嶺山 - 2025-08-14T140255.840.gpx,HN_Guanshanling_0332.gpx,HN_Guanshanling,2.58,3.11,509.5,508.6,0.8,2022/12/4 00:00,186,TRUE,TRUE,FALSE,FALSE,0,0.625492546,-0.360099202,0.288932661,關山嶺山 - 2025-08-14T140255.840.gpx,HN_Guanshanling
221127關山嶺山.gpx,HN_Guanshanling_0092.gpx,HN_Guanshanling,2.47,3.1,479.1,484.6,5.5,2022/11/27 00:00,185,TRUE,TRUE,FALSE,FALSE,0,-0.642858177,-0.211068936,0.274685606,221127關山嶺山.gpx,HN_Guanshanling
關山嶺山 (94).gpx,HN_Guanshanling_0221.gpx,HN_Guanshanling,2.47,3.1,511.4,513.7,2.3,2023/12/2 00:00,186,TRUE,TRUE,FALSE,FALSE,0,0.357100992,-0.096444236,0.301587813,關山嶺山 (94).gpx,HN_Guanshanling
關山嶺山 - 2025-08-14T140116.122.gpx,HN_Guanshanling_0300.gpx,HN_Guanshanling,2.46,3.1,492.8,492.8,0,2023/1/13 00:00,186,TRUE,TRUE,FALSE,FALSE,0,-0.318035091,-0.147305628,0.287656129,關山嶺山 - 2025-08-14T140116.122.gpx,HN_Guanshanling
111_09_17南橫三星：關山嶺山.gpx,HN_Guanshanling_0008.gpx,HN_Guanshanling,2.42,3.1,443.4,446.4,3,2022/9/17 00:00,185,TRUE,TRUE,FALSE,FALSE,0,-2.015187676,-0.232101108,0.253770188,111_09_17南橫三星：關山嶺山.gpx,HN_Guanshanling
關山嶺山 - 2025-08-14T135830.008.gpx,HN_Guanshanling_0251.gpx,HN_Guanshanling,2.54,3.09,491.9,487.1,4.8,2023/5/28 00:00,185,TRUE,TRUE,FALSE,FALSE,0,-0.146081701,-0.358752249,0.262301845,關山嶺山 - 2025-08-14T135830.008.gpx,HN_Guanshanling
關山嶺山 - 2025-08-14T140718.543.gpx,HN_Guanshanling_0400.gpx,HN_Guanshanling,2.49,3.08,508.2,503.9,4.3,2022/5/1 00:00,185,TRUE,TRUE,FALSE,FALSE,0,0.218714624,-0.188155637,0.275777059,關山嶺山 - 2025-08-14T140718.543.gpx,HN_Guanshanling
關山嶺山 - 2025-08-14T140221.672.gpx,HN_Guanshanling_0321.gpx,HN_Guanshanling,2.6,3.06,497.8,486.5,11.3,2022/12/28 00:00,183,TRUE,TRUE,FALSE,FALSE,0,0.150960512,-0.520033774,0.227264588,關山嶺山 - 2025-08-14T140221.672.gpx,HN_Guanshanling
20230319關山嶺山.gpx,HN_Guanshanling_0058.gpx,HN_Guanshanling,2.45,3.06,492.3,485.4,6.8,2023/3/19 00:00,183,TRUE,TRUE,FALSE,FALSE,0,-0.477275624,-0.177781163,0.250664065,20230319關山嶺山.gpx,HN_Guanshanling
關山嶺山 - 2025-08-14T140455.199.gpx,HN_Guanshanling_0371.gpx,HN_Guanshanling,2.54,3.05,469.6,473.8,4.1,2022/8/7 00:00,182,TRUE,TRUE,FALSE,FALSE,0,-0.730879213,-0.462163155,0.206259009,關山嶺山 - 2025-08-14T140455.199.gpx,HN_Guanshanling
關山嶺山20230317.gpx,HN_Guanshanling_0418.gpx,HN_Guanshanling,2.5,3.05,520.7,530.9,10.1,2023/3/17 00:00,182,TRUE,TRUE,FALSE,FALSE,0,0.88583658,-0.163885709,0.256977349,關山嶺山20230317.gpx,HN_Guanshanling
2023_02_11關山嶺山.gpx,HN_Guanshanling_0064.gpx,HN_Guanshanling,2.55,3.04,495.3,492.3,3,2023/2/11 00:00,182,TRUE,TRUE,FALSE,FALSE,0,0.026408353,-0.413575682,0.216008446,2023_02_11關山嶺山.gpx,HN_Guanshanling
關山嶺山 - 2025-08-14T135843.938.gpx,HN_Guanshanling_0256.gpx,HN_Guanshanling,2.49,3.03,436.3,507.2,70.9,2023/5/1 00:00,182,TRUE,TRUE,FALSE,FALSE,0,-0.943735431,-0.352130753,0.173191511,關山嶺山 - 2025-08-14T135843.938.gpx,HN_Guanshanling
關山嶺山 (57).gpx,HN_Guanshanling_0187.gpx,HN_Guanshanling,2.44,3.03,485.6,491.1,5.5,2024/2/23 00:00,181,TRUE,TRUE,FALSE,FALSE,0,-0.536216168,-0.18262131,0.219290213,關山嶺山 (57).gpx,HN_Guanshanling
關山嶺山 - 2025-08-14T140542.888.gpx,HN_Guanshanling_0385.gpx,HN_Guanshanling,2.38,3.03,461.6,457.5,4.1,2022/7/15 00:00,181,TRUE,TRUE,FALSE,FALSE,0,-1.673748377,-0.150654744,0.209554745,關山嶺山 - 2025-08-14T140542.888.gpx,HN_Guanshanling
2022-05-01 關山嶺山（百岳、南橫三星）.gpx,HN_Guanshanling_0021.gpx,HN_Guanshanling,2.64,3.02,476,474.2,1.8,2022/5/2 00:00,181,TRUE,TRUE,FALSE,FALSE,0,-0.271573188,-0.714925278,0.164286262,2022-05-01 關山嶺山（百岳、南橫三星）.gpx,HN_Guanshanling
關山嶺山 - 2025-08-14T135744.728.gpx,HN_Guanshanling_0238.gpx,HN_Guanshanling,2.59,3.02,503.9,508.8,5,2023/7/23 00:00,180,TRUE,TRUE,FALSE,FALSE,0,0.56736991,-0.478644789,0.19741823,關山嶺山 - 2025-08-14T135744.728.gpx,HN_Guanshanling
關山嶺山 (46).gpx,HN_Guanshanling_0179.gpx,HN_Guanshanling,2.67,2.99,526.4,521.9,4.5,2024/3/25 00:00,179,TRUE,TRUE,FALSE,FALSE,0,1.427795228,-0.630765116,0.172424705,關山嶺山 (46).gpx,HN_Guanshanling
