順序	緯度	經度	海拔（約）	類型	名稱
345	23.468751	120.936288	3177.9	gpx	N/A
346	23.468755	120.936331	3183.2	gpx	N/A
347	23.468679	120.936653	3198.4	gpx	N/A
348	23.468693	120.936922	3207.5	gpx	N/A
349	23.468737	120.937041	3211.6	gpx	N/A
350	23.469008	120.937447	3225.9	gpx	N/A
351	23.469060	120.937590	3227.6	gpx	N/A
352	23.469103	120.937664	3229	gpx	N/A
353	23.469209	120.937779	3230	gpx	N/A
354	23.469300	120.938076	3230.9	gpx	N/A
355	23.469321	120.938253	3230.8	gpx	N/A
356	23.469312	120.938409	3230.7	gpx	N/A
357	23.469286	120.938545	3230.6	gpx	N/A
358	23.468862	120.939126	3233.1	gpx	N/A
359	23.468612	120.939377	3234.7	gpx	N/A
360	23.468470	120.939460	3235.4	gpx	N/A
361	23.468305	120.939616	3236.8	gpx	N/A
362	23.467984	120.939845	3240	gpx	N/A
363	23.467806	120.939937	3241.6	gpx	N/A
364	23.467312	120.940143	3244.1	gpx	N/A
365	23.467202	120.940197	3244.2	gpx	N/A
366	23.467101	120.940281	3244	gpx	N/A
367	23.467012	120.940322	3243.8	gpx	N/A
368	23.466843	120.940351	3243.1	gpx	N/A
369	23.466808	120.940382	3242.2	gpx	N/A
370	23.466769	120.940480	3241	gpx	N/A
371	23.466771	120.940881	3234.6	gpx	N/A
372	23.466747	120.940990	3232.6	gpx	N/A
373	23.466677	120.941118	3230.2	gpx	N/A
374	23.466629	120.941141	3227.7	gpx	N/A
375	23.466519	120.941141	3225.2	gpx	N/A
376	23.466466	120.941161	3222.8	gpx	N/A
377	23.466326	120.941239	3220.8	gpx	N/A
378	23.466071	120.941438	3216.4	gpx	N/A
379	23.465977	120.941470	3215.4	gpx	N/A
380	23.465865	120.941451	3214.7	gpx	N/A
381	23.465709	120.941399	3214.3	gpx	N/A
382	23.465630	120.941393	3214.1	gpx	N/A
383	23.465552	120.941389	3214.4	gpx	N/A
384	23.465473	120.941428	3215	gpx	N/A
385	23.465378	120.941509	3216	gpx	N/A
386	23.465297	120.941605	3217.4	gpx	N/A
387	23.465221	120.941840	3221	gpx	N/A
388	23.465130	120.941912	3223	gpx	N/A
389	23.465079	120.942006	3225.2	gpx	N/A
390	23.465078	120.942099	3227.8	gpx	N/A
391	23.465194	120.942300	3233.3	gpx	N/A
392	23.465216	120.942643	3241.1	gpx	N/A
393	23.465239	120.942720	3243.5	gpx	N/A
394	23.465284	120.942799	3245.9	gpx	N/A
395	23.465293	120.942855	3248.1	gpx	N/A
396	23.465271	120.942986	3250.3	gpx	N/A
397	23.465074	120.943160	3254.5	gpx	N/A
398	23.465035	120.943214	3256.5	gpx	N/A
399	23.465007	120.943327	3258.3	gpx	N/A
400	23.465025	120.943412	3259.9	gpx	N/A
401	23.465157	120.943572	3262.6	gpx	N/A
402	23.465171	120.943658	3263.9	gpx	N/A
403	23.465140	120.943699	3265.2	gpx	N/A
404	23.465151	120.943794	3266.5	gpx	N/A
405	23.465208	120.943866	3267.8	gpx	N/A
406	23.465185	120.943808	3268.9	gpx	N/A
407	23.465199	120.943807	3270	gpx	N/A
408	23.465242	120.943847	3271	gpx	N/A
409	23.465371	120.943884	3271.8	gpx	N/A
410	23.465433	120.943927	3272.5	gpx	N/A
411	23.465516	120.944017	3273.1	gpx	N/A
412	23.465585	120.944060	3273.5	gpx	N/A
413	23.465692	120.944073	3273.9	gpx	N/A
414	23.465829	120.944054	3274.2	gpx	N/A
415	23.465843	120.944069	3274.5	gpx	N/A
416	23.465840	120.944088	3274.7	gpx	N/A
417	23.465720	120.944214	3275	gpx	N/A
418	23.465612	120.944445	3275.4	gpx	N/A
419	23.465462	120.944689	3275.8	gpx	N/A
420	23.465429	120.944809	3276.4	gpx	N/A
421	23.465353	120.945378	3281.6	gpx	N/A
422	23.465350	120.945542	3283.2	gpx	N/A
423	23.465382	120.945876	3288.3	gpx	N/A
424	23.465449	120.946227	3293.9	gpx	N/A
425	23.465473	120.946244	3295.7	gpx	N/A
426	23.465495	120.946239	3297.6	gpx	N/A
427	23.465512	120.946211	3299.4	gpx	N/A
428	23.465479	120.945687	3306.8	gpx	N/A
429	23.465563	120.945395	3308.1	gpx	N/A
430	23.465577	120.945371	3308.2	gpx	N/A
431	23.465597	120.945370	3308.2	gpx	N/A
432	23.465651	120.945506	3308	gpx	N/A
433	23.465634	120.945721	3308	gpx	N/A
434	23.465641	120.945772	3308.1	gpx	N/A
435	23.465769	120.946026	3308.2	gpx	N/A
436	23.465791	120.946048	3308.2	gpx	N/A
437	23.465869	120.946048	3308.2	gpx	N/A
438	23.465904	120.946067	3308.2	gpx	N/A
439	23.465960	120.946162	3308.3	gpx	N/A
440	23.466011	120.946373	3308.6	gpx	N/A
441	23.466000	120.946468	3308.8	gpx	N/A
442	23.465910	120.946537	3309.2	gpx	N/A
443	23.465841	120.946663	3309.6	gpx	N/A
444	23.465762	120.946859	3311.2	gpx	N/A
445	23.465678	120.947192	3314.6	gpx	N/A
446	23.465703	120.947444	3316.7	gpx	N/A
447	23.465745	120.947603	3317.6	gpx	N/A
448	23.465847	120.947852	3319.7	gpx	N/A
